"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.09,4.5,[20]
2,3.97,1.1,[20]
3,4.08,1.3,[20]
4,3.86,2.6,[20]
5,3.59,2.8,[20]
6,3.91,1.7,[20]
7,4.01,3.1,[20]
8,4.03,4.5,[20]
9,3.92,1.9,[20]
10,3.99,8.3,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.03,4.6,[20]
2,4.72,9.3,[20]
3,5.17,2.4,[20]
4,5.97,5.4,[20]
5,6.31,6.6,[20]
6,5.58,8.7,[20]
7,5.92,10.1,[20]
8,5.99,9.8,[20]
9,5.95,11.3,[20]
10,6.02,16.3,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.88,5.7,"[22, 23, 36, 73, 99], [20]"
2,10.01,8.3,None
3,9.34,4.9,None
4,9.62,9.1,None
5,9.48,2.6,None
6,9.72,7.1,None
7,9.36,11.2,None
8,9.91,9.8,None
9,10.12,10.9,None
10,9.32,9.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.68,N/A,None
2,7.66,N/A,None
3,7.81,N/A,None
4,8.72,N/A,None
5,7.54,N/A,None
6,6.62,N/A,None
7,7.68,N/A,None
8,5.88,N/A,None
9,6.69,N/A,None
10,6.44,N/A,None
