"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.62,14.9,"[770, 307, 400], [798], [20]"
2,5.03,14.2,"[916], [798], [20]"
3,5.87,8.4,"[916], [798], [20]"
4,5.63,4.6,"[916], [798], [20]"
5,5.21,1.1,"[770, 307, 400], [798], [20]"
6,5.93,5.1,"[916], [798], [20]"
7,5.47,9.2,"[770, 307, 400], [798], [20]"
8,5.91,9.9,"[916], [798], [20]"
9,5.38,5.1,"[916], [798], [20]"
10,6.01,2.1,"[916], [798], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.53,6.6,"[798], [20]"
2,3.98,5.2,"[798], [20]"
3,4.61,7.8,None
4,5.02,9.2,"[798], [20]"
5,3.98,2.7,"[798], [20]"
6,4.03,6.2,None
7,2.39,10.2,None
8,3.31,3.9,None
9,3.33,1.5,None
10,3.41,6.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.02,12.6,"[20], [798]"
2,6.75,6.7,"[798], [20] x 3"
3,5.99,7.2,"[798], [20] x 3"
4,7.31,4.2,"[20], [798]"
5,7.28,5.6,"[798], [20] x 2"
6,6.96,4.5,"[798], [20] x 3"
7,7.42,9.8,"[798], [20] x 2"
8,7.15,1.1,"[770, 307, 400], [798], [20]"
9,7.92,8.9,"[798], [20] x 3"
10,7.01,10.7,"[20], [798]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
