"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.82,6.1,"[502], [79, 116]"
2,6.23,7.3,"[502], [79, 116]"
3,9.49,6.5,"[502], [79, 116]"
4,7.86,4.5,"[502], [79, 116]"
5,7.08,3.2,"[502], [79, 116]"
6,10.01,11.1,"[502], [79, 116]"
7,9.85,7.8,"[79, 116]"
8,9.68,5.6,"[502], [79, 116]"
9,7.15,4.3,"[502], [79, 116]"
10,13.02,5.2,"[502], [79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,12.11,3.3,"[502], [79, 116]"
2,20.09,1.6,"[502], [79, 116]"
3,11.32,3.2,"[79, 116]"
4,10.24,1.3,"[502], [79, 116], [209, 497]"
5,9.87,4.5,"[502], [79, 116], [209, 497]"
6,12.33,3.3,"[502], [209, 497], [79, 116]"
7,11.35,1.2,"[502], [79, 116]"
8,10.96,6.7,"[502], [79, 116]"
9,11.88,5.6,"[79, 116]"
10,10.14,8.4,"[502], [209, 497], [79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.8,0.8,None
2,12.63,2.6,None
3,11.03,1.3,None
4,13.9,5.3,None
5,13.76,4.6,None
6,10.09,3.4,None
7,10.1,9.2,None
8,10.76,3.8,None
9,10.34,4.7,None
10,11.46,7.9,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
