"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.01,11.5,None
2,3.34,9.1,None
3,2.98,8.9,None
4,2.87,4.9,None
5,3.02,8.3,None
6,2.78,7.1,None
7,2.79,5.6,None
8,3.31,4.2,None
9,3.02,6.7,None
10,3.04,4.8,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.55,9.8,None
2,3.42,15.1,None
3,3.48,7.6,None
4,4.02,5.4,None
5,3.97,6.7,None
6,3.85,3.4,None
7,3.58,4.7,None
8,3.47,8.8,None
9,3.29,9.1,None
10,3.02,2.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.97,1.3,None
2,4.52,8.4,None
3,5.01,3.5,None
4,4.32,6.2,None
5,4.47,4.8,None
6,4.84,5.1,None
7,5.09,4.9,None
8,4.92,7.2,None
9,4.37,8.2,None
10,5.01,6.3,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
