"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.78,0.26,"[327, 328, 916]"
2,19.34,7.5,"[327, 328, 916]"
3,10.6,1.3,"[327, 328, 916]"
4,15.22,6.4,"[327, 328, 916]"
5,9.4,3.5,"[327, 328, 916]"
6,14.02,6.6,"[327, 328, 916]"
7,13.21,9.1,"[327, 328, 916]"
8,25.1,10.1,"[327, 328, 916]"
9,12.33,1.4,"[327, 328, 916]"
10,11.98,3.2,"[327, 328, 916]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,14.78,2.8,None
2,15.21,1.9,None
3,7.67,9.6,None
4,16.34,2.3,None
5,14.09,4.3,None
6,12.04,3.4,None
7,18.1,2.7,None
8,17.83,6.7,None
9,11.03,11.2,None
10,15.99,6.9,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,12.06,4.4,None
2,12.81,2.8,None
3,16.45,1.8,None
4,13.09,26.8,None
5,17.47,8.3,"[327, 328, 916]"
6,14.56,4.5,None
7,17.54,6.7,None
8,15.59,6.5,None
9,13.87,2.8,None
10,15.57,3.9,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,14.73,N/A,None
2,15.21,N/A,None
3,18.02,N/A,None
4,11.01,N/A,None
5,10.98,N/A,None
6,10.41,N/A,None
7,11.09,N/A,None
8,20.51,N/A,None
9,12.19,N/A,None
10,20.01,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.58,5.9,None
2,11.47,8.7,None
3,10.97,9.2,None
4,9.92,4.5,None
5,14.52,6.2,None
6,13.38,6.8,None
7,10.88,9.2,None
8,10.03,8.1,None
9,13.31,9.2,None
10,12.22,10.1,None
