"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.01,2.6,None
2,14.36,2.9,None
3,11.31,2.9,None
4,9.98,3.1,None
5,13.33,1.3,None
6,15.49,2.8,None
7,10.92,1.1,None
8,8.87,1.3,None
9,10.04,5.4,None
10,10.17,7.4,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,18.23,2.6,"[209, 497]"
2,13.56,3.6,None
3,15.43,3.2,None
4,9.92,5,None
5,16,5.3,None
6,15.48,1.3,None
7,12.09,2.4,None
8,10.03,5.3,"[209, 497]"
9,9.36,1.2,None
10,16.74,11,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.01,2.6,None
2,15.35,4.5,None
3,11.9,5.4,None
4,19.62,6.7,None
5,12.24,8.4,None
6,13.32,9.2,None
7,9.87,3.7,None
8,10.65,1.3,None
9,14.63,1.2,None
10,11.95,8.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
