"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,12.01,4.5,[20]
2,12.33,5.1,"[798], [20]"
3,12.41,4.4,"[798], [20]"
4,12.62,3.3,[20]
5,12.73,7.2,"[798], [20] x 2"
6,12.48,6.5,"[798], [20]"
7,11.98,9.1,[20]
8,12.31,8.9,"[798], [20]"
9,12.54,6.7,[20]
10,12.38,12.3,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,22.03,4.6,[20]
2,22.13,2.2,"[770, 307, 400], [20]"
3,21.98,9.8,"[798], [20]"
4,23.46,8.2,"[798], [20]"
5,20.09,5.7,"[798], [20]"
6,21.38,6.1,[20]
7,21.92,4.5,"[798], [20]"
8,21.65,9.3,"[798], [20]"
9,21.67,7.2,"[798], [20]"
10,22.53,8.1,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.08,4.4,[20]
2,12.53,7.1,"[770, 307, 400]"
3,19.82,10.2,[20]
4,23.17,3.4,"[770, 307, 400], [20]"
5,15.67,7.2,"[770, 307, 400]"
6,16.82,6.5,[20] x 2
7,19.33,4.5,[20]
8,20.01,9.3,[20]
9,21.42,7.8,[20]
10,17.98,10.5,[20] x 2
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
