"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.55,4.2,"[20], [79, 116]"
2,6.24,6.5,"[20], [79, 116]"
3,6.87,5.4,"[20], [79, 116]"
4,6.21,4.5,"[20], [79, 116]"
5,6.34,5.3,"[20], [79, 116]"
6,6.98,4.5,"[20], [79, 116]"
7,7.02,3.2,"[20], [79, 116], [209]"
8,7.13,3.1,"[20], [79, 116]"
9,7.88,6.8,"[20], [79, 116]"
10,5.54,4.4,"[20], [79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.99,5.3,[20]
2,9.02,4.7,[20]
3,9.35,8.2,"[20], [209]"
4,9.11,8.9,"[20], [209]"
5,8.35,9.1,"[20], [209]"
6,8.19,2.3,[20]
7,8.88,4.5,"[20], [209]"
8,9.03,1.2,"[20], [209]"
9,9.55,3.4,"[20], [209]"
10,9.76,5.6,"[20], [79, 116], [209]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.02,5.5,[20]
2,6.55,5.4,None
3,6.89,5.7,[20]
4,6.98,5.9,[20]
5,6.77,9.1,None
6,6.42,2.3,[20]
7,6.91,8.3,[20]
8,7.01,4.2,None
9,7.03,2.1,[20]
10,7.55,2.7,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.02,N/A,None
2,6.21,N/A,None
3,4.74,N/A,None
4,3.55,N/A,None
5,5.02,N/A,[20]
6,6.28,N/A,None
7,11.75,N/A,None
8,8.99,N/A,None
9,5.26,N/A,[20]
10,6.33,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.29,2.4,[20]
2,10.98,5.8,None
3,10.91,6.2,[20]
4,11.56,3.4,[20]
5,11.23,2.1,None
6,11.44,1.3,[20]
7,11.76,4.7,[20]
8,12.01,8.5,[20]
9,11.98,9.9,[20]
10,11.95,4.1,[20]
